OID_;Landslide;LONGITUDE;LATITUDE;DTM_merged;slope;LULC;profile_curvature;plan_curvature;dist_acc_road;dist_river;NDVI;rain;aspect
0;0;91682,5802;92003,1689;373,0174866;0,787680209;4;-0,06276847;0,033129507;411,9653931;180,7027969;0,362031567;67,34322357;7
1;0;55682,266;104415,2486;385,8379517;16,82241821;2;-0,269385904;0,087632157;258,0426331;148,4890594;0,335763618;82,88248444;6
2;0;76261,6868;66915,8101;294,2075043;10,79049492;4;0,272305995;-0,318835378;580,9100647;373,3664398;0,4827781;71,41384125;8
3;0;56772,518;102116,9275;455,8366547;24,03018665;2;-0,174597126;0,955412209;539,9199219;80,76198578;0,265183495;82,81878662;8
4;0;67847,8478;81082,7308;315,7912445;2,850139856;4;0,11769855;0,001954662;138,8272247;569,63797;0,463345363;75,07782745;6
5;0;84879,7421;101952,891;269,9875183;5,419807911;4;-0,132150203;0,329339504;160,5802002;73,82411194;0,478876139;68,72090149;3
6;0;68028,3933;75345,6265;305,5975037;2,882457256;4;-0,240257427;0,133964062;384,8766174;249,0642548;0,427252905;74,13686371;8
7;0;55598,4026;89414,8872;299,781189;1,522540629;2;0,03238374;0,011856426;501,79776;44,3846817;0,462538587;78,91850281;3
8;0;59257,2681;114483,1128;399,1049805;3,657819033;4;-0,118902408;0,097705789;380,8162231;155,0516052;0,242670232;78,28912354;2
9;0;59234,5056;75643,2605;327,7550049;2,129525661;4;0,031720898;-0,038743211;385,9676209;295,8800354;0,27533135;79,08164215;7
10;0;75112,1137;122237,9099;399,9976501;20,63633442;2;-1,378802598;0,320737079;536,533783;49,62859535;0,286660493;75,58135223;9
11;0;74162,416;129874,5454;508,8674927;13,26989079;4;-0,455157965;0,163623348;229;264,7565002;0,302422551;79,7634201;9
12;0;72907,8017;66629,2119;306,542511;3,269971728;4;-0,182952441;0,359530047;767,9137573;254,0246048;0,455774508;72,73629761;3
13;0;61161,3335;101374,4241;525,7775269;3,114554644;4;-0,017688556;-0,008342321;60,74536896;491,7936707;0,265610185;81,65522766;4
14;0;93375,5734;81526,0382;263,1168213;7,415237427;2;0,331461743;-0,680461317;421,3157806;7,07106781;0,436512847;66,26144409;3
15;0;93237,7218;79907,3223;285,2674866;1,181243896;4;0,253295898;-0,093823686;237,6257629;20;0,309999669;67,71864319;4
16;0;78711,2146;108653,3154;389,7900085;4,951189995;4;-0,005455088;0;124,0644989;166,7213287;0,353879266;70,38022614;5
17;0;74257,2246;115753,6758;515,6442261;3,283377886;4;-0,127778206;-0,028112241;193;301,847641;0,187676802;76,62203217;6
18;0;70360,6755;68240,4811;319,0749969;2,868266344;2;0,172222063;-0,192540914;628,1062927;616,8257446;0,548293843;75,08177948;6
19;0;72121,6346;101517,8968;337,6503601;18,33642292;2;-0,38484773;-0,380871952;427,3078613;440,2737732;0,504099367;69,40126801;4
20;0;75627,8515;98709,7422;342,9012604;5,019331455;4;0,114509542;-0,00411991;282,4827271;489,5375366;0,394933981;67,96497345;8
21;0;68117,1077;66144,032;289,4674988;1,259819865;4;0,154187016;-0,085051093;352,5124207;443,9645233;0,547543294;74,19760132;6
22;0;56224,7338;118939,8941;402,4624939;9,16841507;5;-0,27013652;0,191121362;144,2220459;177,2653351;0,252276371;80,78092957;4
23;0;84560,7258;68128,847;300,5950012;2,680599093;4;0,047794629;-0,026389493;57,98275757;1057,432739;0,478872201;69,61539459;5
24;0;62478,8872;131603,0269;497,8399963;2,428639174;4;-0,022427624;0,028523987;1494,993286;742,1159058;0,32084838;81,368927;7
25;0;72081,0938;126494,882;510,6437378;2,507771969;4;-0,022235849;0,053338364;461,0618286;411,7906036;0,19889564;78,59759521;5
26;0;102399,8885;91482,1181;338,9250183;4,801477909;4;-0,251104385;0,026884797;555,6856079;374,1984863;0,326120659;68,57118988;6
27;0;58633,3689;89498,3693;293,4349976;0,847289264;4;0,057238538;0,029047847;218,1604919;552,6309814;0,479118129;76,75494385;3
28;0;90615,3419;68760,3887;165,4049988;1,212611198;5;-0,03521915;-0,001309638;67,98161316;74,02026367;0,455167629;66,58672333;8
29;0;58887,0958;105052,284;397,9812317;19,82513046;2;-0,770266086;0,166747205;706,988678;41,46666145;0,288063232;79,17047882;8
30;0;76988,4383;77804,8352;339,1263886;1,431716084;2;0,191040039;0,077374041;518,7798157;534,8682251;0,382878561;70,60960388;5
31;0;66989,2048;101477,5484;341,4851379;17,0809145;2;-0,840706587;-0,181523591;72,78049469;56,56854248;0,341260966;74,14081573;7
32;0;104664,7356;92200,6617;230,8300018;14,21982431;4;0,63372463;1,050835252;381,4734497;63,00793457;0,498779865;66,76016998;3
33;0;63189,2561;71511,5174;329,0376282;3,076730967;4;0,138706245;-0,298358738;451;252,2914886;0,414849077;77,46638489;5
34;0;74660,5344;71393,0767;294,4642334;1,333448827;4;-0,065276843;0,018724399;5,099019527;19,78587055;0,348552516;71,64279938;7
35;0;97843,8372;93595,7925;262,3299866;1,905704856;4;0,001145315;-0,012220506;1325,408203;189,4465637;0,45319827;67,95014191;8
36;0;78480,585;89104,7114;399,3712616;2,84416306;4;0,052740728;-0,061187023;198,285141;201,5130234;0,390993778;70,19293976;6
37;0;66601,7248;127260,3493;486,4024963;4,506834984;4;0,055358904;-0,134793088;29,83286858;311,7322693;0,281985581;79,45113373;6
38;0;69616,6042;78812,6875;295,0243835;22,76531601;2;-2,166397333;0,645911157;197,5677032;24,41311073;0,474829711;73,34816742;1
39;0;66154,1218;107251,5674;384,4091949;9,711205959;2;-0,501948237;0,448522717;982,803894;198,2838821;0,310841699;74,69152832;7
40;0;66161,2036;122299,9304;402,3937531;2,207425833;2;-0,110073179;0,10820327;63,95310593;16;0,320416595;76,14378357;5
41;0;68258,2296;85814,6979;307,1868896;16,08635712;2;-0,289060168;1,336537302;4,123105526;327,2567596;0,431035293;72,47415161;4
42;0;69306,305;98409,0212;372,8674927;1,932636023;5;-0,002369889;0,037950899;60;593,8392334;0,265493427;70,51016998;4
43;0;75330,9604;135698,0863;451,1300049;11,70985317;4;-0,76601848;0,036521636;522,6748352;206,1758957;0,30055174;81,40621185;5
44;0;103078,5686;91641,7206;350,5099792;5,235817194;4;-0,260721087;-0,089556724;940,2265625;418,7660522;0,285406189;68,57118988;2
45;0;82254,7156;95343,7576;358,1193848;20,02224541;2;-0,513276339;-1,120180011;52,00961304;591,9814453;0,442929783;69,44378662;1
46;0;72242,6482;73209,8879;289,3450775;4,44992137;4;0,56003499;-0,218497328;13;202,3524094;0,529587537;72,6528244;2
47;0;83274,7658;72466,5907;312,5675354;6,508010387;4;0,016217293;0,041837984;172,5369568;108,0740509;0,417732837;70,24025726;5
48;0;89097,8423;66432,6077;235,8519592;4,971663713;2;-0,142358065;0,655754358;799,470459;57;0,495448876;67,5437851;4
49;0;59089,7967;102550,7522;496,9132996;3,889271498;4;-0,217958815;-0,244536422;216,8893738;205,2035599;0,261154804;81,65522766;7
50;0;67593,9548;126293,246;468,2768097;23,62799931;2;3,049628377;-0,881608188;14,03566837;46,85615921;0,366266146;79,45113373;5
51;0;74019,5154;62901,1319;284,5675049;15,15211773;5;-2,616682768;-0,284806192;130,3610382;150,2331543;0,387673753;71,41384125;9
52;0;56968,276;114968,7146;489,6330719;9,613331795;2;-0,171519294;-0,050581652;394,734726;225,9391403;0,235592176;80,38870239;8
53;0;65036,6939;126823,4465;482,5100098;2,489751458;4;0,391041294;-0,061306668;70,83784485;153,4193573;0,287808116;79,45113373;3
54;0;75881,229;107754,8423;427,0849915;3,977055669;4;-0,073719345;0,040463757;296,7102966;293;0,295985513;70,36228943;6
55;0;78447,5064;102880,2775;191,7524948;1,065969348;5;-0,170190327;0,036237361;34,20526123;42,54409409;0,441452244;68,84999847;4
56;0;55964,0219;94566,5232;373,9524841;7,036506653;4;-0,015632516;0,209258392;379,3889771;372,6674194;0,333642562;75,71398163;9
57;0;82460,3403;101952,027;311,9949951;2,396846533;2;-0,242105931;-0,165574148;1035,576172;231,1925659;0,586647671;68,95960236;4
58;0;78627,7152;94181,6441;318,8200073;9,182576656;4;-0,090681128;-0,061141521;157,2672882;300,050827;0,442836342;70,2183609;8
59;0;73842,2903;128717,0077;515,9775391;5,987328529;4;0,136025935;0,087734774;183,662735;293,7243652;0,303219168;80,66963196;8
60;0;61357,4817;126264,6656;476,9924927;2,90204525;2;-0,254993983;0,299370334;1075,261108;106,4424629;0,381149494;81,40169525;7
61;0;64909,4687;80771,3876;323,1625061;2,732946157;4;0,019700687;-0,016043687;44,72135925;733,9591064;0,355814812;75,07782745;8
62;0;71012,4943;103996,4272;316,0343933;24,75854492;2;0,05246919;-0,575828224;1411,539246;175,326828;0,361806876;69,40126801;2
63;0;84151,6614;85212,9794;398,8660889;4,795280457;4;-0,156739287;-0,017608169;78,10249329;109,7155266;0,411147917;69,76426697;1
64;0;93680,2795;64476,505;145,0675049;5,451812744;4;0,624601662;0,060098145;32;437,3431091;0,459160179;65,64237213;3
65;0;58212,5066;97861,136;438,6325073;3,466625452;4;0,113491237;0,025134452;266,8969727;372,8766479;0,313584336;82,15522766;5
66;0;62862,0983;75841,1698;363,3912506;7,360226154;4;-0,358650997;0,045917869;1009,430267;272,6013489;0,401834061;78,17118835;1
67;0;62628,7566;86973,0776;299,0863953;7,996237755;4;-0,053695355;0,169181854;358,260376;798,1936035;0,420577987;72,30169678;3
68;0;70603,488;92164,5957;317,9362488;4,824977875;4;0,238236286;-0,058704372;151,8321381;320,5206604;0,439271407;68,87979889;9
69;0;62062,4036;100850,4584;445,6900024;12,41623783;4;-0,075219221;0,111246251;422,5115356;95,60334778;0,359431684;78,55762482;3
70;0;75243,0565;78872,3426;367,1560364;1,851031065;2;0,112072848;-0,03533328;25,05992889;766,1984253;0,492875252;71,1490097;6
71;0;59543,9533;84938,6536;341,8171997;11,40620899;2;0,11902022;-0,015785196;291,7276001;774,133728;0,554733474;76,91426849;6
72;0;85662,199;95195,5628;364,1799927;2,512845278;4;-0,007464086;-0,054758828;809,9660645;659,4603882;0,407563822;68,95240021;5
73;0;87427,0964;89808,9839;321,1152649;16,84228134;2;2,873389125;-1,556447208;281,5448456;149,3452301;0,507308497;67,68489075;5
74;0;65985,3571;70475,4195;333,1312714;1,218583465;4;0,078420501;0,023032464;237,4626312;72,54998016;0,459961431;76,23757172;3
75;0;84566,3669;65190,6296;252,3775024;3,056777477;4;0,019092482;0,765247285;250,8904114;309;0,380553236;68,41468811;7
76;0;58690,368;75175,8375;324,2174988;3,808524609;4;-0,227953538;-0,102779403;684,7086792;178,465683;0,431332894;79,89265442;3
77;0;88228,5192;93738,3422;319,8962402;3,98370862;4;0,087496884;0,019342943;513,7377625;139,0881042;0,447658334;67,80254364;9
78;0;53322,7184;107567,5134;402,4425049;11,64200497;4;0,180880032;0,057963999;172,8120422;60,44005203;0,268904821;82,19322205;1
79;0;77648,9103;98789,5349;337,6872864;2,926156521;2;0,134583473;0,166734457;729,9321899;6;0,464523042;68,842659;5
80;0;81638,8658;66027,7968;258,6412506;3,359022141;4;-0,030558418;0,038830334;593,9991455;237,3847122;0,328981397;68,72952271;9
81;0;91021,4304;92216,4824;358,0390625;3,018834829;2;-0,095178038;-0,217462763;833,2040405;128,2224579;0,523330417;67,34322357;8
82;0;79593,861;66227,6468;271,1871033;4,270447969;2;0,295663744;-0,016435662;314;56,36488342;0,53834172;69,875;9
83;0;87270,6966;81975,7896;283,8475037;3,829561114;4;0,010666335;0,083327137;1660,107544;102,4158173;0,422308141;67,631073;5
84;0;62395,6434;126280,3586;461,0075073;3,105341911;4;0,014294578;-0,032040469;565,6509399;143;0,184184696;79,80239868;2
85;0;85530,3362;74407,1037;340,3049927;1,323357463;4;0,020043569;-0,033754397;209,9952393;282,0780029;0,365190653;70,24025726;5
86;0;69500,9107;90070,4468;301,1199951;6,139348269;2;-0,187429026;0,05618611;504;686,94104;0,463801436;71,01271057;6
87;0;94448,5865;67842,4713;152,9955292;4,525678635;5;0,419855446;0,12120036;23,85372162;532,0244141;0,271068413;65,52669525;4
88;0;70448,9894;115437,944;452,3087463;5,481449842;4;-0,198733248;0,314407781;738,5475464;166,1475143;0,310997268;72,77118683;6
89;0;76090,6297;65355,3656;267,7674866;0,3997159;4;-0,003051758;-0,041598715;307,9025879;98,61541748;0,326833406;71,41384125;2
90;0;85280,3118;105045,661;317,6774902;18,22725487;2;1,566956759;-0,605830967;568,7785034;630,1785278;0,479486359;68,74674988;5
91;0;67407,4745;115633,3263;457,7262573;3,500536442;4;0,01692017;0,056953384;383,6209106;187,7058716;0,238198878;73,85578918;3
92;0;70445,6491;98253,7905;354,2315674;1,02122581;2;0,043275457;0,120839693;260,2786865;150,8409729;0,390008567;70,51016998;5
93;0;74185,661;63692,8626;286,4137573;4,042134762;4;-0,038559442;0,058772264;327,8078613;668,7424927;0,396692457;71,41384125;4
94;0;92399,7861;67717,4202;238,8249969;10,01509666;4;-0,301523745;-0,443882465;518,5527954;637,3421631;0,497708642;65,52669525;6
95;0;54169,3066;104712,572;436,8599854;5,251000643;4;0,069262072;-0,205901325;67,72737503;115,2367096;0,257221333;82,19322205;5
96;0;81659,0355;90147,9564;304,0524902;12,03372908;5;-0,0913091;0,00331074;139,846344;78,92401123;0,413930247;69,5594635;5
97;0;87309,3787;79374,3588;251,4949951;2,013808489;4;0,187443018;-0,015329245;531,2626343;188,7432098;0,362356944;67,32189178;5
98;0;70831,5057;62826,2137;283,386261;1,473739982;4;0,005552092;-0,005950769;240,2592316;475,3262024;0,560922229;74,19760132;2
99;0;77740,3862;87070,1076;277,0730438;14,55457211;2;0,44297573;-0,545659691;273,9799194;176,1732025;0,516094693;70,19293976;9
100;0;63658,299;87733,5371;267,907959;1,377402544;4;0,011622716;0,005279814;433,2972412;101,2225265;0,454712694;72,30169678;1
101;0;91310,2309;89778,2252;310,0599976;12,25030804;2;-0,258442193;-0,283171654;106,0754471;298,7390137;0,513417524;67,04166412;5
102;0;77343,9545;62339,4031;287,8200073;2,723195553;2;1,53358984;0,189437345;1026,723877;32,75667953;0,355761007;69,73446655;3
103;0;85098,3497;66118,1028;284,5799866;2,40070343;4;0,222957879;-0,192085966;76,29216385;494,3308563;0,358958415;68,41468811;6
104;0;73467,6823;131318,2495;472,6078796;9,082140923;2;-0,266957253;-0,36900571;576,5864868;22;0,245955633;80,66963196;9
105;0;61034,6255;71011,0074;289,4923401;4,752746105;8;0,035005102;0,029927398;171,3680191;33,241539;0,47710377;77,52655029;2
106;0;72641,3542;74098,5559;291,8266449;0,862070799;5;-0,085796524;0,027772629;79,82167435;172,706398;0,107094135;72,6528244;9
107;0;88481,7525;89116,7943;340,207489;7,571152925;4;-0,074000284;0,048794229;106,4800415;553,0750122;0,442743908;67,68489075;8
108;0;80428,8736;80449,3579;405,8962402;3,372900486;2;-0,140539303;-0,026076287;4,242640495;358,0677185;0,427312654;72,2583313;2
109;0;68237,4292;112311,5602;417,3549805;16,14678192;4;-0,196770161;0,062057018;242,0950165;276,2842712;0,177312237;71,46440887;4
110;0;81582,7051;88856,0751;374,0580597;11,4754858;2;0,645936608;0,105252165;667,8188477;629,6272583;0,447112473;69,5594635;7
